Id,Title,ProvidedBy,Rating,ReviewedBy,Difficulty,IsPaid,TotalEnrolled,CourseLink,Price
32,Cisco CCNA 200 301 Your Guide to Passing 2021,Matt Carey,4.5,1047,All Levels,1,5235,https://www.udemy.com/course/cisco-ccna-course/,1280
33,CCNA 2020 CCNA 200 301 exam a complete guide Cisco,Marious Kuriata,4.6,1108,All Levels,1,5540,https://www.udemy.com/course/ccna-cisco-200-125-exam-complete-guide/,2240
34,Cisco Networking Fundamentals CCNA Prep,Matt Carey,4.3,569,All Levels,1,2845,https://www.udemy.com/course/cisco-networking-fundamentals/,8640
35,Advanced Writing Strategies for Immediate Improvement,Jake Wolinsky,4.5,170,All Levels,1,850,https://www.udemy.com/course/advanced-writing-strategies-for-immediate-improvement/,2240
36,Part 1E Tunnelling and Service Provider Switching,Rakesh M,4.7,12,Intermediate,1,60,https://www.udemy.com/course/part-1e-tunnelling-and-service-provider-switching/,1600
37,Cisco CCNA Networking Security 200 125 Exam Complete Course,Joydip Ghosh,3.4,338,All Levels,1,1690,https://www.udemy.com/course/ccna-bootcamp-from-beginner-to-advance/,8640
38,Interconnecting Cisco Networking Devices Part 2 ICND2 3,Integrity Training,4.1,10,All Levels,1,50,https://www.udemy.com/course/interconnecting-cisco-networking-devices-part-2-icnd2/,8640
39,Huawei HCIA HCNA Configuration Labs,IPCisco.com Gokhan Kosem,3.8,14,Beginner,1,70,https://www.udemy.com/course/huawei-hcia-hcna-configuration-training/,6080
40,Pass your CCNA 200 125 in 5 hours,Yassin Laouichi,3.6,13,All Levels,1,65,https://www.udemy.com/course/pass-your-ccna-200-125/,3200
41,CCNP ENARSI Exam 300 410,"Integrity Training, Stone River eLearning",3.5,8,All Levels,1,40,https://www.udemy.com/course/ccnp-enarsi-exam-300-410/,8640
42,Certified Network Forensics Examiner CNFE Part1 of Part2 ,"Integrity Training, Stone River eLearning",4.3,4,All Levels,1,20,https://www.udemy.com/course/certified-network-forensics-examiner-cnfe-part1-of-part2/,8640
43,NeW Cisco CCNA 200 301 ALL LABS with Cisco Packet Tracer,IPCisco.com Gokhan Kosem,3.4,40,All Levels,1,200,https://www.udemy.com/course/cisco-packet-tracer-all-labs-cisco-ccna/,8640
44,TSHOOT Troubleshooting Maintaining Cisco Part2 of Part2,Integrity Training,4.5,2,All Levels,1,10,https://www.udemy.com/course/tshoot-troubleshooting-maintaining-cisco-part2-of-part2/,1280
45,GMAT 49 Hours Math Prep GMAT 760 Instructor,Jackson K,4.4,679,All Levels,1,3395,https://www.udemy.com/course/master-math-series-numbers-gmat-cat-gre/,5120
46,Master the Fundamentals of Math,Krista King,4.8,6933,All Levels,1,34665,https://www.udemy.com/course/fundamentals-of-math/,8640
47,Probability Strengthen your Basics,Don't Memorise,5,6,Beginner,1,30,https://www.udemy.com/course/dont-memorise-probability/,1280
48,Quick Mental Math Tricks Shortcuts for Competitive Exams,Ruchi Chhabra,4.5,91,All Levels,1,455,https://www.udemy.com/course/math-tricks-shortcuts-for-competitive-exams/,8640
49,Math for SSC Staff Selection Commission Maths,Vinuthan S,3.6,8,All Levels,1,40,https://www.udemy.com/course/ssc-maths-quantitative-numerical-data-interpretation/,2240
50,Permutations and Combinations,Kaveenam Bjjj,4.5,9,Intermediate,1,45,https://www.udemy.com/course/permutations-and-combinations/,1280
51,Aptitude for Placements 2021 Quantitative Aptitude Tricks,Dr. Kiran Derle,4.4,955,All Levels,1,4775,https://www.udemy.com/course/quant_aptitud_tricks_and_shortcuts/,1600
52,GRE 46 Hours Math Prep Target GRE 330 ,Jackson K,4.6,664,All Levels,1,3320,https://www.udemy.com/course/master-gre-math/,5120
53,English Vocabulary SAT GRE GMAT TOEFL,Don't Memorise,4.5,590,Beginner,1,2950,https://www.udemy.com/course/dontmemorise_vocabulary/,1600
54,Master GRE Prep GMAT Prep Math through Animated Videos 2021,Devaki subbalakshmi,4.5,229,All Levels,1,1145,https://www.udemy.com/course/testprep24-maths-for-gre-gmat/,8640
55,Gmat Sentence Correction 180 Practice Questions 3 Tests,OMER YILDIRIM,5,11,All Levels,1,55,https://www.udemy.com/course/gmat_sentence_correction/,2880
56,Vedic Maths Multiplication Tricks To Become Human Calculator,"Malay Biswal PMP, SAFe PO/PM, Math and Telecom Enthusiast",3.9,114,All Levels,1,570,https://www.udemy.com/course/vedic-multiplication-fastest-and-easiest-techniques/,3840
57,Math for Competitive Exam Numerical Quantitative Aptitude,Vinuthan S,4.4,29,All Levels,1,145,https://www.udemy.com/course/math-for-competitive-exam-numerical-quantitative-aptitude/,2560
58,Break Away GMAT Verbal Sentence Correction 50 Original,Loony Corn,4.3,101,All Levels,1,505,https://www.udemy.com/course/break-away-gmat/,6400
59,Reasoning Aptitude for Placements 2021 Logical Reasoning,Dr. Kiran Derle,4.7,206,All Levels,1,1030,https://www.udemy.com/course/reasoning-aptitude-for-placementslacements-2020-tricks/,1600
60,GMAT Complete Math Algebra Geometry Probability More ,Gerald Richardson,4.2,29,All Levels,1,145,https://www.udemy.com/course/subeezy-gmat-math/,8640
61,Quantitative Aptitude for competitive Examinations,"Exam Ekalavya, Uday",4.4,133,All Levels,1,665,https://www.udemy.com/course/aptitude-for-competitive-examinations/,1280
62,Nova s GMAT Verbal Prep Course,Jeff Kolby,3.7,10,All Levels,1,50,https://www.udemy.com/course/novas-gmat-verbal-prep-course/,1280
63,Gmat Critical Reasoning 180 Practice Questions 3 Tests,OMER YILDIRIM,3.9,12,All Levels,1,60,https://www.udemy.com/course/gmat_critical_reasoning/,3200
64,Math for Placement Campus Recruitment Quants Numerical,Vinuthan S,5,4,All Levels,1,20,https://www.udemy.com/course/math-for-placement-campus-recruitment/,2240
65,Quantitative Aptitude Concept Building Course For Dummies,"Mirza Hyder Baig, DGTEL Classroom",4.3,109,All Levels,1,545,https://www.udemy.com/course/aptitudecourse/,1280
66,How I got 700 on the GMAT strategy tips and practice,Albena Geleva,3.5,11,All Levels,1,55,https://www.udemy.com/course/gmat-strategy-and-practice/,1280
67,Mastering 11 entry exams Strategies for verbal reasoning,Hayley Mitchell,4.4,15,Beginner,1,75,https://www.udemy.com/course/mastering-11-entry-exams-strategies-for-verbal-reasoning/,1280
68,Perfect Your Math Fundamentals PreAlgebra,Ruchi Chhabra,4.2,110,All Levels,1,550,https://www.udemy.com/course/perfect-your-mathematics-fundamentals/,8640
69,Fast Mental Math Tricks To Become A Human Calculator,Abhishek V R - Ofpad,4.8,381,All Levels,1,1905,https://www.udemy.com/course/speed-mental-math-tricks/,4160
70,Get into the Top Business Schools MBA Admissions Tips,Chris Haroun,4.3,386,All Levels,1,1930,https://www.udemy.com/course/get-into-the-top-business-schools-mba-admissions-secrets/,3200
71,Learn Quantitative Aptitude for Competitive Exams,Ashokkumar P,4.2,15,Beginner,1,75,https://www.udemy.com/course/learn-quantitative-aptitude-for-competitive-exams/,1280
72,Quantitative Aptitude Master Tricks,Pramod Kumar Samantaray,5,8,All Levels,1,40,https://www.udemy.com/course/quantitative-aptitude-pramod/,3200
73,Cat essentials Litter box,Constance Boehle,4.4,44,All Levels,1,220,https://www.udemy.com/course/cat-essentials-litter-box/,1920
74,GRE 46 Hours Math Prep Target GRE 330 ,Jackson K,4.6,664,All Levels,1,3320,https://www.udemy.com/course/master-gre-math/,5120
75,English Vocabulary SAT GRE GMAT TOEFL,Don't Memorise,4.5,590,Beginner,1,2950,https://www.udemy.com/course/dontmemorise_vocabulary/,1600
76,Master GRE Prep GMAT Prep Math through Animated Videos2021,Devaki subbalakshmi,4.5,229,All Levels,1,1145,https://www.udemy.com/course/testprep24-maths-for-gre-gmat/,8640
77,New SAT Math Course,Kim Chen,4.4,122,All Levels,1,610,https://www.udemy.com/course/new-sat-math-complete-course/,8640
78,Power 800 SAT Math NEW SAT,Huzefa Kapadia,4.3,453,All Levels,1,2265,https://www.udemy.com/course/power800satmath/,9280
79,ISAT Preparation Course,eGuru LLC,3.6,8,All Levels,1,40,https://www.udemy.com/course/isat-preparation-course/,8640
80,Power 9 ISEE Math Middle Level,Huzefa Kapadia,4.6,25,All Levels,1,125,https://www.udemy.com/course/power-9-isee-math-middle-level/,2880
81,Speed and Mental Math Tricks and Techniques,Sanjay Noronha,4.7,42,All Levels,1,210,https://www.udemy.com/course/speed-math-tricks-and-techniques/,1280
82,Hacking the SAT Math Complete SAT Math Prep Course 2020,Mason Tang,4.1,105,All Levels,1,525,https://www.udemy.com/course/hacking-the-sat-math/,6080
83,Essential Academic English Prefixes Suffixes,Daniel Owen,4.5,11,Intermediate,1,55,https://www.udemy.com/course/essential-academic-english-prefixes-suffixes/,2560
84,Mastering the SAT Math Section,Bronte Anne,4.6,19,All Levels,1,95,https://www.udemy.com/course/mastering-the-sat-math-section/,1920
85,Beat the SAT Math,Mourad Kattan,4.5,75,All Levels,1,375,https://www.udemy.com/course/beat-the-sat/,3520
86,Math Basics Algebra,Mathevia â„¢,4.7,6,Beginner,1,30,https://www.udemy.com/course/math-basics-algebra/,3200
87,Mental Math Secret,Kevin Ventura,4.3,71,All Levels,1,355,https://www.udemy.com/course/master-mental-math-secrets/,6400
88,English Vocabulary SAT,Jane Cui,4.2,55,Beginner,1,275,https://www.udemy.com/course/english-vocabulary-sat/,1600
89,The Complete SAT Course Reading Writing Language Math,Robert Hubbard,4.5,10,All Levels,1,50,https://www.udemy.com/course/the-complete-sat-course-reading-writinglanguage-math/,3200
90,Sat Math Course Revise Complete Sat Math,Fevzi Kipici,4,29,All Levels,1,145,https://www.udemy.com/course/full-sat-math-prep-course/,3200
